,0,1,mean
LogisticRegression,0.7654114598570653,0.8087331995377972,0.7870723296974312
KNeighborsClassifier,0.7791198227943328,0.7252326217843459,0.7521762222893393
DecisionTreeClassifier,0.7243978211504437,0.7269354740619108,0.7256666476061773
RandomForestClassifier,0.7672782491188476,0.8296539560907377,0.7984661026047926
HistGradientBoostingClassifier,0.761733606386091,0.8303837499239798,0.7960586781550354
AdaBoostClassifier,0.7609952494392667,0.7902450890956638,0.7756201692674652
CatBoostClassifier,0.769855532801159,0.8364653652009973,0.8031604490010782
XGBClassifier,0.7626670010169823,0.8305053822295202,0.7965861916232513
