,0,1,2,3,mean
LogisticRegression,0.7753143613500992,0.4786158740884647,0.40987707261292167,0.6397388820889433,0.5758865475351073
KNeighborsClassifier,0.7471872931833223,0.44401272630008165,0.39493996569468265,0.4214606283149735,0.501900153373265
DecisionTreeClassifier,0.6116534303992941,0.40924064532477405,0.37099771297884504,0.5050999592003264,0.4742479369758099
RandomForestClassifier,0.786013677476285,0.4631303319537123,0.40022870211549455,0.6564667482660139,0.5764598649528765
HistGradientBoostingClassifier,0.7640911096404147,0.4874567108708506,0.4350343053173242,0.6670746634026927,0.5884141973078205
AdaBoostClassifier,0.7246304875358482,0.4452515696708618,0.3752858776443682,0.5993472052223582,0.5361287850183591
CatBoostClassifier,0.7697165232737702,0.48917419827125036,0.4423956546598056,0.6670746634026927,0.5920902599018797
XGBClassifier,0.761829913964262,0.4814595827350283,0.44353916523727843,0.6544267645858833,0.5853138566306131
