,0,1,2,3,mean
LogisticRegression,0.825308846238694,0.6378354027648732,0.3920097198399085,0.031007751937984496,0.47154043019536507
KNeighborsClassifier,0.7799746304875359,0.6045555649407326,0.30953401943967984,0.065687474500204,0.4399379223420381
DecisionTreeClassifier,0.6961725126847562,0.5734437030154574,0.37943110348770726,0.15952672378620972,0.45214351074353265
RandomForestClassifier,0.8333333333333334,0.6648647126728046,0.39451114922813035,0.04528763769889841,0.4844992082332917
GradientBoostingClassifier,0.82092433267152,0.6484218824788129,0.3371212121212121,0.039575683394532844,0.4615107776665195
HistGradientBoostingClassifier,0.8105007721155968,0.6610637159670018,0.43253287592910233,0.06527947776417789,0.4923442104439697
AdaBoostClassifier,0.7871718508713876,0.5869020469071149,0.3672813036020583,0.01142390860873113,0.438194777497323
CatBoostClassifier,0.8196007059342598,0.6646394684235718,0.4312464265294454,0.06731946144430845,0.4957015155828963
XGBClassifier,0.8157401279505846,0.6615705155277755,0.42166952544311037,0.06813545491636067,0.4917789059594578
