,0,1,2,3,mean
LogisticRegression,0.7854345907787337,0.4815440493284906,0.4190251572327044,0.6376988984088128,0.5809256739371853
KNeighborsClassifier,0.6989024928303552,0.5068840273671763,0.4601915380217267,0.23419012647898818,0.4750420461745616
DecisionTreeClassifier,0.6875965144495919,0.5538756088633612,0.3891509433962264,0.20889432884536924,0.4598793488886372
RandomForestClassifier,0.8277079196999779,0.6228285046597404,0.5049313893653516,0.1036311709506324,0.5147747461689256
HistGradientBoostingClassifier,0.7768861681005956,0.5064616943998649,0.46062035448827904,0.6491228070175439,0.5982727560015708
AdaBoostClassifier,0.747380322082506,0.4242756989610609,0.38829331046312177,0.5940432476540187,0.5384981447901769
CatBoostClassifier,0.7882748731524377,0.5100937579187431,0.4992853058890795,0.5944512443900449,0.5980262953375763
XGBClassifier,0.7832285462166336,0.501196610074049,0.4862778730703259,0.6017951856385149,0.5931245537498808
