,0,1,mean
LogisticRegression,0.95216004235104,0.39548744146445297,0.6738237419077465
KNeighborsClassifier,0.94087571920146,0.391351943076081,0.6661138311387704
DecisionTreeClassifier,0.8820300636658726,0.4741835431490604,0.6781068034074664
RandomForestClassifier,0.9580111728730444,0.4039408866995074,0.6809760297862759
HistGradientBoostingClassifier,0.9526894303506499,0.4266861278355531,0.6896877790931015
AdaBoostClassifier,0.9550298825594516,0.35607857446937907,0.6555542285144154
CatBoostClassifier,0.9521321798247447,0.45630359423462874,0.7042178870296867
XGBClassifier,0.9518396232986445,0.44298485677796023,0.6974122400383024
